Numero do Artigo,Texto do Artigo
"1","Art. 1 Toda pessoa é capaz de direitos e deveres na ordem civil."
"2","Art. 2 A personalidade civil da pessoa começa do nascimento com vida; mas a lei põe a salvo, desde a concepção, os direitos do nascituro."
"3","Art. 3 São absolutamente incapazes de exercer pessoalmente os atos da vida civil os menores de 16 anos.
I – ;
II – ;
III – ."
"4","Art. 4 São incapazes, relativamente a certos atos ou à maneira de os exercer:
I – os maiores de dezesseis e menores de dezoito anos;
II – os ébrios habituais e os viciados em tóxico;
III – aqueles que, por causa transitória ou permanente, não puderem exprimir sua vontade;
IV – os pródigos.
Parágrafo único. A capacidade dos indígenas será regulada por legislação especial."
"5","Art. 5 A menoridade cessa aos dezoito anos completos, quando a pessoa fica habilitada à prática de todos os atos da vida civil.
Parágrafo único. Cessará, para os menores, a incapacidade:
I – pela concessão dos pais, ou de um deles na falta do outro, mediante instrumento público, independentemente de homologação judicial, ou por sentença do juiz, ouvido o tutor, se o menor tiver dezesseis anos completos;
II – pelo casamento;
III – pelo exercício de emprego público efetivo;
IV – pela colação de grau em curso de ensino superior;
V – pelo estabelecimento civil ou comercial, ou pela existência de relação de emprego, desde que, em função deles, o menor com dezesseis anos completos tenha economia própria."
"6","Art. 6 A existência da pessoa natural termina com a morte; presume-se esta, quanto aos ausentes, nos casos em que a lei autoriza a abertura de sucessão definitiva."
"7","Art. 7 Pode ser declarada a morte presumida, sem decretação de ausência:
I – se for extremamente provável a morte de quem estava em perigo de vida;
II – se alguém, desaparecido em campanha ou feito prisioneiro, não for encontrado até dois anos após o término da guerra.
Parágrafo único. A declaração da morte presumida, nesses casos, somente poderá ser requerida depois de esgotadas as buscas e averiguações, devendo a sentença fixar a data provável do falecimento."
"8","Art. 8 Se dois ou mais indivíduos falecerem na mesma ocasião, não se podendo averiguar se algum dos comorientes precedeu aos outros, presumir-se-ão simultaneamente mortos."
"9","Art. 9 Serão registrados em registro público:
I – os nascimentos, casamentos e óbitos;
II – a emancipação por outorga dos pais ou por sentença do juiz;
III – a interdição por incapacidade absoluta ou relativa;
IV – a sentença declaratória de ausência e de morte presumida."
"10","Art. 10 Far-se-á averbação em registro público:
I – das sentenças que decretarem a nulidade ou anulação do casamento, o divórcio, a separação judicial e o restabelecimento da sociedade conjugal;
II – dos atos judiciais ou extrajudiciais que declararem ou reconhecerem a filiação;
III –"
